Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Uruguay,South America,3479057,8104,,87,,5564,,2453,28,2329,25,484274,139197,Americas
Bahamas,North America,394898,7585,,163,,6032,,1390,11,19207,413,45112,114237,Americas
Hong Kong,Asia,7523788,7292,112,114,,5900,117,1278,43,969,15,4382709,582514,WesternPacific
Andorra,Europe,77320,7190,28,78,,6505,53,607,17,92990,1009,173151,2239408,Europe
Trinidad and Tobago,North America,1401494,6833,25,122,,6060,24,651,2,4876,87,38077,27169,Americas
Eswatini,Africa,1165448,6633,21,126,1,6221,46,286,11,5691,108,63144,54180,Africa
Rwanda,Africa,13091533,6349,71,53,,5789,74,507,,485,4,657995,50261,Africa
Malawi,Africa,19344222,6051,,186,,5487,,378,4,313,10,77323,3997,Africa
Congo,Africa,5577031,6049,,99,,4988,,962,,1085,18,,,Africa
Nicaragua,North America,6659174,5887,,162,,4225,,1500,,884,24,,,Americas
Guyana,South America,788230,5811,79,154,,4925,37,732,6,7372,195,33020,41891,Americas
Djibouti,Africa,994296,5717,,61,,5599,,57,,5750,61,94295,94836,EasternMediterranean
Mali,Africa,20502923,5576,107,184,3,3502,48,1890,,272,9,110916,5410,Africa
Martinique,North America,375136,5575,,42,,98,,5435,10,14861,112,67378,179610,
Iceland,Europe,342220,5524,8,28,,5313,11,183,3,16142,82,403640,1179475,Europe
Mayotte,Africa,275673,5499,,51,,2964,,2484,4,19948,185,27129,98410,
Suriname,South America,588947,5333,,117,,5217,,-1,2,9055,199,22391,38019,Americas
Equatorial Guinea,Africa,1422825,5183,,85,,5048,,50,,3643,60,72105,50677,Africa
Aruba,North America,106966,5011,15,46,1,4865,9,100,4,46847,430,54368,508274,
CAR,Africa,4866464,4927,,63,,1924,,2940,2,1012,13,32711,6722,
Somalia,Africa,16085031,4579,,121,,3529,,929,,285,8,,,EasternMediterranean
Thailand,Asia,69877544,4169,18,60,,3888,8,221,1,60,0.9,977854,13994,South-EastAsia
Gambia,Africa,2446032,3776,,123,,3631,,22,1,1544,50,26604,10876,Africa
Burkina Faso,Africa,21151339,3469,,69,,2742,,658,,164,3,,,Africa
Curaçao,North America,164390,3325,,8,,1488,,1829,18,20226,49,26604,161835,
South Sudan,Africa,11251379,3181,,62,,3003,,116,1,283,6,62494,5554,Africa
Togo,Africa,8363026,3151,,65,,2699,,387,,377,8,157074,18782,Africa
Benin,Africa,12260793,3090,,44,,2972,,74,,252,4,360194,29378,Africa
